"","Row.names","log2FoldChange","padj","Factor","trans"
"191","ko:K04079",-0.227331525634886,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9547_c0_g1_i1"
"192","ko:K04345",0.94624251442279,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6983_c0_g1_i1"
"193","ko:K04348",1.48843276478963,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6449_c0_g1_i1"
"194","ko:K04354",-2.06881024008259,0.0273378862020662,"Menthol_Menthol_vs_Control","TRINITY_DN8821_c0_g1_i1"
"195","ko:K04364",-0.264106113143575,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8360_c0_g1_i1"
"196","ko:K04364",-0.264106113143575,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN512_c0_g1_i1"
"197","ko:K04369",-0.982190758999049,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7370_c0_g1_i1"
"198","ko:K04370",0.203666063073056,0.945434144679215,"Menthol_Menthol_vs_Control","TRINITY_DN7498_c0_g1_i1"
"199","ko:K04371",-0.38735443839429,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN19170_c0_g1_i1"
"200","ko:K04393",-0.636629182844716,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8545_c0_g1_i1"
"201","ko:K04393",-0.636629182844716,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8633_c0_g1_i2"
"202","ko:K04393",-0.636629182844716,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8633_c0_g1_i1"
"203","ko:K04393",-0.636629182844716,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9378_c0_g1_i1"
"204","ko:K04444",-1.13400416949185,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8549_c0_g1_i1"
"205","ko:K04456",-0.700384718846654,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9287_c0_g1_i2"
"206","ko:K04456",-0.700384718846654,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9287_c0_g1_i1"
"207","ko:K04503",-0.183230653079859,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7471_c0_g1_i1"
"208","ko:K04536",-0.637627883710659,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9504_c0_g1_i1"
"209","ko:K04552",0.169493899417105,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8278_c0_g1_i1"
"210","ko:K04567",0.0506983873877484,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9247_c0_g1_i1"
"211","ko:K04712",0.212880374590851,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9249_c0_g1_i1"
"212","ko:K05754",-0.128235804826101,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9414_c0_g1_i1"
"213","ko:K05754",-0.128235804826101,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9414_c0_g1_i2"
"214","ko:K05755",0.713524367050448,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8355_c0_g1_i1"
